start,end,path,degree
Turkey at the 1964 Summer Olympics,Homunculus,Turkey at the 1964 Summer Olympics->Turkey at the 1976 Winter Olympics->Austria->Paracelsus->Homunculus,4
Eurema sarilata,Homunculus,Eurema sarilata->Lepidoptera->Fairy->Elemental->Homunculus,4
Variegated mountain lizard,Homunculus,Variegated mountain lizard->Binomial nomenclature->Herman Boerhaave->Iatrochemistry->Homunculus,4
Tetrastrum,Homunculus,Tetrastrum->Taxonomy (biology)->History of evolutionary thought->Homunculus,3
WordDive,Homunculus,WordDive->Grammar->Latin->List of Latin words with English derivatives->Homunculus,4
Ashaga Fyndygan,Homunculus,Ashaga Fyndygan->Geographic coordinate system->Latin->List of Latin words with English derivatives->Homunculus,4
The Eagle (1925 film),Homunculus,The Eagle (1925 film)->International Standard Book Number->ISO 259->Golem->Homunculus,4
Bruce-Briggs Brick Block,Homunculus,"Bruce-Briggs Brick Block->National Register of Historic Places listings in Rensselaer County, New York->Pittsfield, Massachusetts->The 25th Annual Putnam County Spelling Bee->Homunculus",4
Main street manager,Homunculus,"Main street manager->National Trust for Historic Preservation->New Iberia, Louisiana->Latin->List of Latin words with English derivatives->Homunculus",5
Alfred Pillinger,Homunculus,Alfred Pillinger->Hobart->Charles Darwin->Heredity->Homunculus,4
R Boötis,Homunculus,R Boötis->NGC 5248->Carina Nebula->Homunculus,3
The Feeding,Homunculus,The Feeding->Werewolf->Mandrake->Homunculus,3
Universal McCann,Homunculus,Universal McCann->R/GA->The Silence of the Lambs (film)->Hellboy II: The Golden Army->Homunculus,4
Partially ordered space,Homunculus,Partially ordered space->Ordered vector space->Mathematics->Fractal->Homunculus,4
What Comes Naturally,Homunculus,What Comes Naturally->MCA Records->Musical theatre->The 25th Annual Putnam County Spelling Bee->Homunculus,4
Reginald De Koven,Homunculus,Reginald De Koven->Internet Archive->Hamid Naderi Yeganeh->Fractal->Homunculus,4
"Round Hill, Rappahannock County, Virginia",Homunculus,"Round Hill, Rappahannock County, Virginia->U.S. state->Latin->List of Latin words with English derivatives->Homunculus",4
5th Expeditionary Force (Ottoman Empire),Homunculus,5th Expeditionary Force (Ottoman Empire)->23rd Infantry Division (Ottoman Empire)->Arabs->Alchemy and chemistry in medieval Islam->Homunculus,4
Sige Subukan Mo,Homunculus,Sige Subukan Mo->Butterfly knife->Athame->Classical element->Homunculus,4
Surgères 48 Hour Race,Homunculus,Surgères 48 Hour Race->Australia->British Empire->John Dee->Homunculus,4
Maria Elena Boschi,Homunculus,Maria Elena Boschi->Bologna->Prague->Golem->Homunculus,4
Nether Silton,Homunculus,Nether Silton->List of places in England->Elizabethan era->John Dee->Homunculus,4
Mareil-sur-Loir,Homunculus,Mareil-sur-Loir->France->Common sense->Direct and indirect realism->Homunculus,4
Ked itch,Homunculus,Ked itch->International Standard Book Number->Library->John Dee->Homunculus,4
Alabama Woman Blues,Homunculus,Alabama Woman Blues->Music genre->Sampling (music)->Simulacrum->Homunculus,4
Melissa Roxburgh,Homunculus,Melissa Roxburgh->Diary of a Wimpy Kid: Rodrick Rules (film)->Astro Boy (film)->Faust (manga)->Homunculus,4
Catocala kaki,Homunculus,Catocala kaki->Arthropod->Sperm->Homunculus,3
Cart with Red and White Ox,Homunculus,Cart with Red and White Ox->Langlois Bridge at Arles->Cologne->Heinrich Cornelius Agrippa->Homunculus,4
Reggae Embassy,Homunculus,Reggae Embassy->Jamaica->Goby->Sperm->Homunculus,4
Ignatius L. Donnelly,Homunculus,Ignatius L. Donnelly->Atlantis->Ouroboros->Homunculus,3
Options of a Trapped Mind,Homunculus,Options of a Trapped Mind->Thrash metal->Post-metal->Elemental->Homunculus,4
Joey Yung discography,Homunculus,Joey Yung discography->Music industry->Austria->Paracelsus->Homunculus,4
Feuerspitze,Homunculus,Feuerspitze->Austria->Paracelsus->Homunculus,3
RSCH,Homunculus,RSCH->Royal Sussex County Hospital->University of Brighton->Raymond Briggs->Homunculus,4
Looks and Smiles,Homunculus,Looks and Smiles->The Angels' Share->The Mystery of Picasso->The Dream and Lie of Franco->Homunculus,4
2010 ADAC GT Masters,Homunculus,2010 ADAC GT Masters->Austria->Paracelsus->Homunculus,3
Abas Daud,Homunculus,Abas Daud->Singapore->Chinese folk religion->Baopuzi->Homunculus,4
Schwarzschild coordinates,Homunculus,Schwarzschild coordinates->Surface area->Fractal->Homunculus,3
André Duchesne (musician),Homunculus,André Duchesne (musician)->Musical collective->Crass->Ouroboros->Homunculus,4
Canada's Worst Driver 12,Homunculus,Canada's Worst Driver 12->Canada->Gold->Philosopher's stone->Homunculus,4
Plex Systems,Homunculus,Plex Systems->ISO 14000->ISO 259->Golem->Homunculus,4
Kitab al-'Uyun,Homunculus,Kitab al-'Uyun->Miskawayh->Alchemy and chemistry in medieval Islam->Homunculus,3
East Lynne (1922 film),Homunculus,East Lynne (1922 film)->Sydney Showground (Moore Park)->Film->Bride of Frankenstein->Homunculus,4
1991 in Jordan,Homunculus,1991 in Jordan->1952 in Jordan->1952->Jack Parsons (rocket engineer)->Homunculus,4
Viaje a la luna,Homunculus,Viaje a la luna->Los astronautas->Venus->Alchemy->Homunculus,4
Third Thai–Lao Friendship Bridge,Homunculus,Third Thai–Lao Friendship Bridge->Laos->Islam->Alchemy and chemistry in medieval Islam->Homunculus,4
Micrurus browni,Homunculus,Micrurus browni->Neuromuscular junction->Heredity->Homunculus,3
